الرقم,عنوان السياسية,الجهة المصدرة,الهيئة/ الجهة المصدرة الإدارية بشكل محدد,التاريخ,التصنيف,شرح مبسط للقانون,المنطقة المتأثرة,ملخص التأثير,الفئة الأكثر تضرراً ,حالة التنفيذ,رابط الوثيقة,معلومات إضافية,الانتهاك على ارض الواقع/ الشهادة,مصدر الشهادة,رابط المصدر,
15,المرسوم التشريعي رقم 63,الحكومة السورية السابقة,رئيس الجمهورية السابق,2012,قوانين خاصة أو استثنائية,لسلطات الضابطة العدلية في معرض التحقيقات التي تجريها بشأن الجرائم الواقعة على أمن الدولة الداخلي أو الخارجي، والجرائم الواردة في القانون رقم (19) تاريخ 2/7/2012، أن تطلب خطياً إلى وزير المالية اتخاذ الإجراءات التحفظية اللازمة على الأموال المنقولة وغير المنقولة العائدة للمتهم، كما ان للنيابة العامة، وقاضي التحقيق، أثناء نظر الدعوى، اتخاذ هذه الإجراءات في مواجهة المتهم، أو التدعي عليه، بما في ذلك المنع من السفر، وذلك إلى حين البت في الدعوى بحكم قضائي مكتسب الدرجة القطعية.,مناطق الحكومة السورية السابقة,"بناءً على هذا المرسوم، يمكن للضابطة العدلية حجز أموال المتهمين بمجرد توجيه التهم إليهم وقبل ثبوتها عليهم. كما للنائب العام وقاضي التحقيق الحقّ بالحجز الاحتياطي على عقارات المتهم قبل صدور القرار القضائي المبرم بحقه. مما يشير إلى أن هذا الإجراء قد تمّ اتخاذه بحق آلاف المتهمين المحالين إلى محكمة مكافحة الإرهاب بصرف النظر عن التهمة الموجهة إليهم أو الحكم الذي سيصدر بحقهم.
ينبغي التأكيد على أن القوانين والتدابير المحلية يجب ألا تكون مبرراً لعدم تنفيذ الدولة التزاماتها بموجب معاهدة ما. إن حرمان الأفراد من حقهم في عقاراتهم –ومنها وحدات السكن والأرض– على أساس تدابير ترقى لتكون إكراهية، يخالف واجب الدولة وفقاً للعهد الدولي الخاص بالحقوق الاقتصادية والاجتماعية والثقافية الذي يقتضي أن تستخدم الدولة جميع السبل المناسبة، بما فيها اعتماد تدابير تشريعية، لتعزيز جميع الحقوق التي يحميها العهد، ومن ذلك التدابير التي توفر لشاغلي المساكن والأراضي أكبر قدر ممكن من الضمان لشغلها.
كما أن تدابير الحجز على الأموال والملكية التي لا يمكن إنهاؤها إلا بعد صدور حكم قضائي نهائي بخصوص القضية التي لا ترتبط مباشرة بالحقوق التي يُحرم منها الأفراد –الملكية– تعتبر بحد ذاتها حرماناً لهؤلاء الأشخاص من حقهم في الوصول إلى سبل الانتصاف الفعال المتعلقة بتلك الحقوق التي لا يمكن تبرير حرمانهم منها بناءً على تدابير ليست ذات صلة وهي الجرائم الواردة في قانون مكافحة الإرهاب رقم 19 لعام 2012",المعارضين للنظام السابق,ملغى,http://parliament.gov.sy/arabic/index.php?node=5576&cat=16218,,,,"https://stj-sy.org/ar/%D8%B3%D9%88%D8%B1%D9%8A%D8%A7-%D9%85%D8%B3%D8%A7%D9%87%D9%85%D8%A9-%D9%81%D9%8A-%D8%AA%D9%82%D8%B1%D9%8A%D8%B1-%D8%A7%D9%84%D9%85%D9%81%D9%88%D8%B6-%D8%A7%D9%84%D8%B3%D8%A7%D9%85%D9%8A-%D9%84%D8%AD/
 ",208
16,"المرسوم التشريعي رقم 40
الخاص بإزالة مخالفات البناء",الحكومة السورية السابقة,رئيس الجمهورية السابق,2012,قوانين عقارية,يُجيز القانون إزالة المخالفات بالهدم الفوري دون مراعاة الحقوق المكتسبة، ويفرض عقوبات بالحبس وغرامات مالية باهظة، مما يمنح السلطة التنفيذية صلاحيات واسعة تهدد حق الملكية والسكن، ويفتح باباً للاستنسابية في التنفيذ.,مناطق الحكومة السورية السابقة,"بعد صدور المرسوم، لم تتوقف أعمال البناء في المخالفات، بل على العكس ازدادت، لأن بعضهم يريد استغلال الفترة الانتقالية للمرسوم وصدور تعليماته التنفيذية.
وحسب تقرير على موقع الاقتصادي قام خبراء واختصاصيو المخالفات باختراع الطريقة المثالية لمخالفة المرسوم عبر إجراء ضبوط مخالفات لم تحصل ليقوموا فيما بعد ببنائها، ولتسجل قبل صدور المرسوم 40 متناسين أن سبب صدور هذا المرسوم هو محاولة معالجة وضع آلاف المساكن التي تمت إشادتها في الفترة الواقعة بين صدور المرسوم رقم 1 لعام 2003 والقانون (59) لعام 2008 والمرسوم الحديث رقم 40 لعام 2012.
إضافة إلى عدم قدرة الوحدات الإدارية على فهم التعليمات التنفيذية للمرسوم 40 فكيفية التسوية ومقدار الغرامات المالية التي يجب على المخالف دفعها لتسوية مخالفته، أصبحت المعضلة التي يقف عندها المسؤولون حائرين بين أحقية المواطن في أن ينظر المشرع إلى حاله المادية، وحال المكان الذي شيدت فيه المخالفة، وبين كيفية إزالة المخالفة غير القابلة للتسوية بالمطلق.
وهنا وقع الخلاف وعدم الفهم بين المواطن والموظف وبين المشرع وواضع التعليمات التنفيذية التي من المفترض أن تعطي المرسوم شرعيته العملية على أرض الواقع.",الفئة الفقيرة من الشعب السوري,قيد التنفيذ,https://hlp.syria-report.com/%D8%AD%D9%82%D9%88%D9%82-%D8%A7%D9%84%D8%B3%D9%83%D9%86-%D9%88%D8%A7%D9%84%D8%A3%D8%B1%D8%A7%D8%B6%D9%8A-%D9%88%D8%A7%D9%84%D9%85%D9%85%D8%AA%D9%84%D9%83%D8%A7%D8%AA/%D8%A7%D9%84%D9%85%D8%B1%D8%B3%D9%88%D9%85-40/,,,,بين إزالة المخالفة وتسويتها بحسب المرسوم 40 ضاع المواطن والتفسير | الاقتصادي,163
17,"القانون رقم 3
قانون العقوبات الاقتصادي",الحكومة السورية السابقة,رئيس الجمهورية السابق,2013,قوانين عامة,يُجرم القانون الأفعال التي تضر بالاقتصاد الوطني والمال العام، كالسرقة، والاختلاس، والرشوة، والاحتكار، والتهريب. وتتراوح العقوبات بين الحبس والسجن المؤقت الذي قد يصل لـ 15 عاماً، مع غرامات تعادل قيمة الضرر,مناطق الحكومة السورية السابقة,"يهدف القانون رقم 3 لعام 2013 إلى حماية الأموال العامة ومكافحة الجرائم الاقتصادية والمالية عبر فرض عقوبات مشددة تصل للسجن المؤقت لمدة خمس عشرة سنة وغرامات مالية كبيرة، مع توسيع مفهوم ""الموظف العام"" ليشمل العاملين في مختلف قطاعات الدولة والمنظمات الشعبية. وتكمن أبرز سلبيات هذا القانون في غموض بعض مصطلحاته واتساع نطاقها (الحاق الضرر بالاقتصاد الوطني)، مما يمنح السلطة التنفيذية والأمنية قدرة واسعة على تأويل النصوص واستخدامها كأداة للترهيب السياسي أو تصفية الحسابات تحت غطاء مكافحة الفساد. كما يعاب عليه تجاوزه لمبدأ التناسب في العقوبات، وفرض قيود قاسية تجعل من الخطأ الإداري البسيط جريمة جنائية كبرى، بالإضافة إلى تكريسه للتقادم الطويل لحقوق الدولة مما يبقي المواطن تحت التهديد القانوني لعقود. وبذلك، يتحول القانون من وسيلة إصلاحية إلى أداة لتعزيز قبضة السلطة على الموارد والكوادر الإدارية، بما يحد من المبادرة ويقوض الاستقرار القانوني للموظفين والمستثمرين على حد سواء.",,قيد التنفيذ,https://www.syrian-lawyer.club/wp-content/uploads/2019/09/%D9%82%D8%A7%D9%86%D9%88%D9%86-%D8%A7%D9%84%D8%B9%D9%82%D9%88%D8%A8%D8%A7%D8%AA-%D8%A7%D9%84%D8%A7%D9%82%D8%AA%D8%B5%D8%A7%D8%AF%D9%8A-%D8%B1%D9%82%D9%85-3-%D9%84%D8%B9%D8%A7%D9%85-2013.pdf,,,,,
18,"المرسوم التشريعي رقم 20
تجريم وعقوبة خطف الأشخاص",الحكومة السورية السابقة,رئيس الجمهورية السابق,2013,قوانين خاصة أو استثنائية,شدد عقوبة الخطف لتصل إلى الأشغال الشاقة المؤبدة أو الإعدام في حالات القتل أو الاغتصاب، ويهدف للردع لكنه يثير مخاوف حقوقية لافتقاره لضمانات المحاكمة العادلة وامكانية استخدامه في تصفية الحسابات.,مناطق الحكومة السورية السابقة,"يقضي المرسوم التشريعي رقم 20 لعام 2013 بتشديد العقوبات على جرائم الخطف لتصل إلى الأشغال الشاقة المؤبدة، وتُرفع للإعدام في حالات الوفاة، أو العاهة الدائمة، أو الاعتداء الجنسي. ورغم قسوة العقوبات لردع عصابات الفدية والثأر، تبرز ثغرة حقوقية كبرى في تجاهل المرسوم التام لجريمة ""الاختفاء القسري"" التي تورطت فيها جهات أمنية وعسكرية رسمية؛ إذ ركز القانون على الخطف الجنائي ""الفردي"" وأغفل محاسبة أجهزة الدولة عن آلاف المعتقلين والمفقودين قسرياً، مما يجعله أداة قانونية منقوصة تفتقر للشمولية في حماية حرية المواطن وأمنه الشخصي من كافة أشكال التغييب.",نظريا يعود بالفائدة على السوريين لكن عمليا لم يتغير شيء على ارض الواقع,قيد التنفيذ,http://parliament.gov.sy/arabic/index.php?node=201&nid=4278&RID=-1&Last=10308&First=56&CurrentPage=68&Vld=-1&Mode=&Service=&Loc1=&Key1=&SDate=&EDate=&Year=&or=%20ORDER%20BY%20%20official_number&Country=&Num=-1&Dep=-1&src=203&,,,,تصريح أحد القانونيين للباحثين,
19,"المرسوم التشريعي رقم 25
جواز التبليغ بالصحف بسبب ظروف استثنائية",الحكومة السورية السابقة,رئيس الجمهورية السابق,2013,قوانين خاصة أو استثنائية,"يُجيز المرسوم التبليغ القضائي عبر الصحف في ""الظروف الاستثنائية"". تكمن خطورته في هدر حق الدفاع ومبدأ المواجهة، حيث قد تصدر أحكام غيابية (كالمصادرات) دون علم صاحب العلاقة، مما يسهل سلب الملكيات وتصفية الحسابات تحت غطاء قانوني.",مناطق الحكومة السورية السابقة,"التبليغ الشكلي: يتيح للمدعي تبليغ المالك الحقيقي عبر الصحف المحلية أو الرسائل النصية والالكترونية (في حال تعذر التبليغ الشخصي).
تثبيت الملكية: يُستخدم بشكل واسع في دعاوى ""تثبيت الشراء"" أمام المحاكم المدنية، مما يمكن المحتالين من الحصول على أحكام قضائية نهائية بنقل الملكية.
استغلال الظروف: يستهدف المرسوم أصحاب العقارات النازحين أو اللاجئين الذين لا يمكنهم متابعة الصحف، مما يهدد حقوق ملكيتهم.
قانونية الممارسات: رغم أن الإجراء يبدو قانونياً، إلا أنه يفتقر للعدالة الفعلية في توصيل التبليغ للمالك، مما يؤدي إلى ضياع حقوق الكثيرين.
ربط التبليغ: أوجب المرسوم ربط دواوين التبليغ الإلكتروني بدليل الهاتف والبريد الالكتروني المعتمد لضمان إرسال الإشعارات. ",المالكين وكل من عليه دعاوى امام القضاء,قيد التنفيذ,http://parliament.gov.sy/arabic/index.php?node=5556&nid=4275&First=0&Last=26&CurrentPage=0&mid=&refBack=,,,,https://snhr.org/arabic/2023/05/25/%d9%85%d8%ac%d9%85%d9%84-%d8%a7%d9%84%d9%82%d9%88%d8%a7%d9%86%d9%8a%d9%86-%d8%a7%d9%84%d8%aa%d9%8a-%d8%b3%d9%8a%d8%b7%d8%b1-%d8%a7%d9%84%d9%86%d8%b8%d8%a7%d9%85-%d8%a7%d9%84%d8%b3%d9%88%d8%b1%d9%8a/,95
20,"القانون رقم 7 
قانون إحداث المحكمة الدستورية العليا",الحكومة السورية السابقة,رئيس الجمهورية السابق,2014,قوانين عامة,يحدد القانون اختصاصات المحكمة الدستورية العليا، لكن تكمن سلبياته في تبعيتها للسلطة التنفيذية؛ حيث يُعين الرئيس أعضاءها، مما يقوض استقلاليتها ويجعلها أداة لشرعنة المراسيم وتثبيت سلطة القائمين على الحكم بدلاً من رقابتهم ودستورية قوانينهم.,مناطق الحكومة السورية السابقة,"أولاً: تشكّل آلية تعيين أعضاء “المحكمة الدستورية العليا السورية” خرقاً لمبدأ الفصل بين السلطات، وتعديّاً لا لبس فيه من قبل رأس السلطات التنفيذية (رئيس الجمهورية) على أعمال السلطة القضائية، ما يشكّل انتهاكاً للدستور الحالي (دستور عام 2012) بحسب “المادة 140” منه، التي تنص على أن “المحكمة الدستورية العليا  هيئة قضائية مستقلة”. وأيضاً، خرقاَ لقانون “المحكمة الدستورية العليا” لعام 2014 في مادته الأولى التي تنص أيضاً على أن “المحكمة الدستورية العليا هيئة قضائية مستقلة في الجمهورية العربية السورية مقرها مدينة دمشق.”
ثانياً: إنّ مَنْح رئيس السلطة التنفيذية (رئيس الجمهورية) سلطات مطلقة في تعيين واختيار أعضاء “المحكمة الدستورية العليا” بحسب “المادة 141″ من دستور 2012، و”الفقرة أ” في “المادة 3” من قانون “المحكمة الدستورية”، تجعل من أعضائها موظفين إداريين بحكم الواقع وليس (هيئة قضائية مستقلة)، كما تجعلهم تحت رحمة الاستبدال في أي وقت، دون وجود أي ضوابط ومعايير تضمن استقلالية قرارهم عن السلطة التي عينتهم.
ثالثاً: في حال شغور منصب أحد أعضاء “المحكمة الدستورية” بسبب الوفاة أو الإقالة أو الاستقالة، يسمي رئيس الجمهورية بديلاً عنه لمدة لا تتجاوز المدة الباقية لسلفه، بحسب “المادة 54” من القانون “رقم 7″، والتي تنص على:
“يسمي رئيس الجمهورية بمرسوم رئيساً أو عضواً بدلاً من الرئيس أو العضو المقال أو المستقيل أو المتوفي لمدة لا تتجاوز المدة الباقية لسلفه.”
وإذا كان القانون رقم 7 لعام 2014، قد حاول ذرَّ الرماد في العيون من خلال إعطاء غالبية الهيئة العامة للمحكمة سلطة إقالة أحد أعضائها (المادة 53)، فإن هذه الصلاحية ليست إلا صلاحية شكلية غير مجدية، لأنه وبكل بساطة يمكن لرئيس الجمهورية أو الأجهزة الأمنية أن توحي لباقي أعضاء المحكمة بإقالة العضو غير المرضي عنه، ولن يتردد باقي الأعضاء بإجابة الطلب كي يضمنوا تجديد الولاية القادمة. زِدْ على ذلك، أنّه من غير المتصوّر في سورية أن يقوم أحد الأعضاء بشق عصا الطاعة على رئيس الجمهورية، لأن الأخير لا يقوم أصلاً إلا بتسمية وتعيين الشخص المرضي عنه من قبل الأفرع الأَمنية الموالية للرئيس، والتي تعيش في سوريا خارج القانون بل فوقه.
وفي المواد 12، 13، 14، 15 أعطيت المحكمة ﺣﻖ اﻟﺮﻗﺎﺑﺔ ﻋلى دﺳﺘﻮرﻳﺔ اﻟﻘﻮاﻧين والمراسيم التشريعية واﻟﻠﻮاﺋﺢ واﻷﻧﻈﻤﺔ وإﺑﻄﺎﻟﻬﺎ، إﻻّ أنّ ﺗﻠﻚ اﻟﺮﻗﺎﺑﺔ ﺗﺒﻘﻰ ﺷﻜﻠﻴﺔ وﻏير ﻣﻔﻌﻠﺔ، ﻟﻮ اﻓﱰﺿﻨﺎ ﻣمارﺳﺘﻬﺎ ﻣﻦ اﻟﻨﺎﺣﻴﺔ اﻟﻌﻤﻠﻴﺔ.  وﺗﻈﻬﺮ ﺗﻠﻚ اﻟﺼﻼﺣﻴﺔ اﻟﺸﻜﻠﻴﺔ ﺑﺸﻜﻞ ﺧﺎص، ﻋﻨﺪﻣﺎ ﺗﻜﻮن ﺗﻠﻚ اﻟﻘﻮاﻧين أو اﳌﺮاﺳﻴﻢ التشريعية اﳌﺮاد ﻣﺮاﻗﺒﺘﻬﺎ ﻗﺪ أُﺻﺪرت ﻣﻦ رﺋﻴﺲ اﻟﺠﻤﻬﻮرﻳﺔ أو ﺗﻌﻤﻴمات ﺻﺎدرة ﻣﻦ أﺣﺪ اﻷﺟﻬﺰة اﻟﺘﻨﻔﻴﺬﻳﺔ. وﺑﺎﻟﺘﺎﱄ ﻓﻠﻦ ﻳﺠﺮؤ أﺣﺪ ﻣﻦ اﻷﻋﻀﺎء اﳌﺤﻜﻤﺔ على ﻣمارﺳﺔ ﺣﻘﻪ ﰲ ﻣﺮاﻗﺒﺔ اﻟﻘﻮاﻧين، وإﻳﻘﺎف اﻟﻌﻤﻞ ﺑﻬﺎ، ﻃﺎﳌﺎ أﻧﻬﺎ ﺻﺪرت ﻣﻦ أعلى ﺳﻠﻄﺔ ﺗﻨﻔﻴﺬﻳﺔ (رﺋﻴﺲ اﻟﺠﻤﻬﻮرﻳﺔ أو ﺟﻬﺎت ﺗﺎﺑﻌﺔ ﻟﻪ  وزراء وﻣﺤﺎﻓﻈين اﻟﺦ). ولم ﻧﺸﻬﺪ ﰲ اﻟﻮاﻗﻊ العملي أي ﺣﺎﻟﺔ ﺳﺎﺑﻘﺔ ﻹﺑﻄﺎل ﻗﺎﻧﻮن ﺻﺎدر ﻋﻦ رﺋﻴﺲ اﻟﺠﻤﻬﻮرﻳﺔ أو ﻣﺠﻠﺲ اﻟﺸﻌﺐ ﻣﻦ ﻗﺒﻞ ""اﳌﺤﻜﻤﺔ اﻟﺪﺳﺘﻮرﻳﺔ. أﻣّ ﺎ ﻓﻴما ﻳﺨﺺ اﻟﺘﻌﺎﻣﻴﻢ اﻟﻮزارﻳﺔ، اﻟﺘﻲ ﻣﻦ اﳌﻤﻜﻦ أن ﺗﺜير إﺷﻜﺎﻟﻴﺔ ﻛﺒيرة ﻣﻦ ﺣﻴﺚ ﻗﺎﻧﻮﻧﻴﺘﻬﺎ، ﻓﻘﺪ درﺟﺖ اﻟﻌﺎدة ﺑﺄن ﻳﺘﻢ اﻟﻐﺎء اﻟﺘﻌﻤﻴﻢ اﳌﺜير ﻟﻠﺠﺪل )ﻏير اﻟﻘﺎﻧﻮني(، بمﻮﺟﺐ ﺗﻌﻤﻴﻢ ﻻﺣﻖ ﻣﻦ ﻗﺒﻞ اﻟﻮزﻳﺮ اﻟﺬي أﺻﺪرﻫﺎ، ﻣﺎ ﻳﺨﻠﻖ ﺣﺎﻟﺔ ﻣﻦ اﻻرﺗﺒﺎك وﻋﺪم ﺛﻘﺔ ﰲ ﺗﻄﺒﻴﻖ اﻟﻘﻮاﻧين. فيما عدا القرار ""اﻟﻴﺘﻴﻢ"" اﻟﺬي ﺻﺪر ﻋﻦ ﻫﺬه اﳌﺤﻜﻤﺔ ﻋﺎم 2019 ، ﺣﻴﺚ أﻟﻐﻰ ﺑﻌﺾ ﻣﻮاد مشروع ﻗﺎﻧﻮن ﻣﺠﻠﺲ اﻟﺪوﻟﺔ اﻟﻘﻀﺎء اﻹداري، وﻫﻲ ﻛﺎﻧﺖ ﻋﺒﺎرة ﻋﻦ ﻣﺤﺎوﻟﺔ ﺑﺎﺋﺴﺔ ﻣﻦ اﻟﺤﻜﻮﻣﺔ اﻟﺴﻮرﻳﺔ ﻹﺳﻜﺎت اﻷﺻﻮات اﻟﺘﻲ ﺗﻌﻴﺐ على المحكمة اﻟﺪﺳﺘﻮرﻳﺔ ﻋﺪم ﺻﺪور أي ﻗﺮار ﻋﻨﻬﺎ ﺑﺎﻟﻐﺎء أو ﺗﻌﺪﻳﻞ أي ﻗﺎﻧﻮن ﻣﻨﺬ ﺗﺎرﻳﺦ إحداثها",عموم السوريين,قيد التنفيذ,http://parliament.gov.sy/arabic/index.php?node=201&nid=4226,,,,https://stj-sy.org/ar/%d8%a7%d9%84%d9%85%d8%ad%d9%83%d9%85%d8%a9-%d8%a7%d9%84%d8%af%d8%b3%d8%aa%d9%88%d8%b1%d9%8a%d8%a9-%d8%a7%d9%84%d8%b9%d9%84%d9%8a%d8%a7-%d9%81%d9%8a-%d8%b3%d9%88%d8%b1%d9%8a%d8%a7-%d8%a7%d8%b3%d8%aa/,517
21,قانون الانتخابات العامة رقم 5 ,الحكومة السورية السابقة,مجلس الشعب,2014,قوانين عامة,يحدد القانون إجراءات الانتخابات، لكنه يكرس هيمنة السلطة التنفيذية عبر لجنة قضائية عليا يعينها رئيس الجمهورية، ويضع شروطاً إقصائية للمرشحين (كالإقامة الدائمة)، مما يحرم ملايين المهجرين من حقوقهم السياسية ويقوض نزاهة العملية الديمقراطية,مناطق الحكومة السورية السابقة,حددت المواد من 3-6 من القانون من يحق له الانتخاب والاستفتاء ضمن الشروط التي يحددها القانون وحدد الانتخاب المباشر فقط كآلية للانتخابات البرلمانية والرئاسية، وأوقفت المادة 6 من القانون حق الانتخاب والترشح لعضوية مجلس الشعب ومجالس الإدارة المحلية عن عسكريي الجيش وقوى الأمن الداخلي طيلة فترة خدمتهم وهو ما يدل على جواز السماح لهم بانتخاب رئيس الجمهورية وفي هذا مخالفة صريحة لشفافية ونزاهة الانتخابات حيث لا يوجد ما يبرر عدم الجواز لهم بممارسة حقهم الانتخابي في اختيار ممثليهم في مجلس الشعب أو الإدارة المحلية أسوة بباقي بلدان العالم ذات النظام الرئاسي. كما لم يجندر القانون اللغة ولم يذكر كلمة مواطنة في حق الترشح والانتخاب كما كان القانون السابق رقم 26 لعام 1973 قد فعل في المادة الثالثة منه. إضافة إلى أن آلية تشكيل اللجنة العليا للانتخابات من مجلس القضاء الأعلى الذي يرأسه رئيس الجمهورية وهي التي تعين اللجان الفرعية وبالتالي لا يتسم عملها جميعا بالحيادية والشفافية نظرا لتبعيتها للسلطة التنفيذية وتغول الأخيرة على عمل السلطة القضائية.,عموم السوريين ولا سيما الراغبين في الترشح للانتخابات من المعارضين,مجمد,http://jus.moj.gov.sy/ar/elections ,,,,https://cswdsy.org/%d9%82%d8%b1%d8%a7%d8%a1%d8%a9-%d9%86%d9%82%d8%af%d9%8a%d8%a9-%d9%84%d9%82%d8%a7%d9%86%d9%88%d9%86-%d8%a7%d9%84%d8%a7%d9%86%d8%aa%d8%ae%d8%a7%d8%a8%d8%a7%d8%aa-%d8%a7%d9%84%d8%b3%d9%88%d8%b1%d9%8a/,156
22,التعميم رقم 463 بناء على كتاب رئاسة مجلس الوزراء رقم 4554,الحكومة السورية السابقة,وزارة الإدارة المحلية,2015,تعاميم وقرارات وزارية,يربط التعميم 463 براءة الذمة المالية بالموافقة الأمنية لعمليات البيع والتوريث، مما يعيق نقل الملكيات للمطلوبين سياسياً أو المتخلفين عن الخدمة، ويجبر المواطنين على العقود غير الرسمية، مما يهدد ضياع حقوقهم العقارية ويحول الملكية لأداة عقاب سياسي.,مناطق الحكومة السورية السابقة,"تتطلب عمليات بيع العقارات في سوريا، وكذلك التوريث ونقل الملكية عبر التنازل عنها، الحصول على براءة ذمة من وزارة المالية. ومع التعميم 463 بات الحصول على براءة الذمة المالية مقترناً بالحصول على الموافقة الأمنية. وغالباً ما يكون ذلك بتقديم طلب إلى فرع شعبة الأمن السياسي التابع لوزارة الداخلية. وفي حال كان البائع أو الشاري مطلوباً أمنياً بسبب نشاطات معارضة للنظام، أو متخلفاً عن الخدمة العسكرية، أو إذا سبق وارتكب جرماً أو جنحة، أو صدر بحقه حكم بالسجن، فلن يتمكن من الحصول على تلك الموافقة.
وتفادياً للوقوع بالمشاكل المرافقة للموافقات الأمنية، لجأ كثيرون إلى العقود الكتابية بموجب شهود، من غير تصديقها رسمياً في السجلات العقارية. ويهدد ذلك بضياع حق الملكية، في حال عدم تثبيتها رسمياً.",المالكين والورثة,ملغى,https://drive.google.com/file/d/12eoFNqpbWD2kA0yU9l-H38JHX3_aepPN/view?usp=sharing,,,,https://2cm.es/1iF-1 ,113
23,تعميم وزارة العدل رقم 82,الحكومة السورية السابقة,وزير العدل,2015,تعاميم وقرارات وزارية,يؤكد على ضرورة الحصول على الموافقات الأمنية لبعض حالات الوكالات القانونية بناء على كتاب رئيس مجلس الوزراء رقم 4810/و لعام 2015 وهذه الوكالت هي الوكالات الداخلية والخارجية التي تنظم بشأن نقل ملكية العقارات والخاصة بتأسيس شركات أو تلك المتعلقة بفتح فروع شركات خارجية في سوريا وكافة الوكالات العامة والخاصة الموثقة في الخارج,مناطق الحكومة السورية السابقة,"يعد التعميم رقم 82 لعام 2015 وما تبعه من إجراءات، أداةً قانونية وسياسية بامتياز، حوّلت ""الوكالة"" من تسهيلٍ إداري إلى عقبة تحول دون وصول السوريين لحقوقهم الأساسية. فبموجبه، أصبحت جميع الوكالات المنظمة خارج البلاد، والوكالات الداخلية المتعلقة بالعقارات والشركات وتصفية التركات، معلقةً على شرط ""الموافقة الأمنية"" المسبقة. هذا الإجراء عرقل شؤون ملايين السوريين، خاصة المقيمين في الخارج أو في مناطق خارج سيطرة النظام، وأولئك الملاحقين أمنياً لأسباب سياسية؛ إذ تُستخدم الموافقة كأداة ""فلترة"" تمنع المطلوبين من إدارة أملاكهم أو حمايتها، مما يشرعن ضمناً الاستيلاء عليها نتيجة غياب القدرة القانونية على التصرف. كما فاقم التعميم معاناة المغتربين بربط مصالحهم بمراجعة البعثات الدبلوماسية التي تشترط الحضور الشخصي ووثائق سارية، وهو ما لا يتوفر للكثيرين، ناهيك عن التكاليف الباهظة وسوق السمسرة الأمنية الذي نشأ حولها. ورغم استثناء قضايا الأحوال الشخصية لاحقاً، إلا أن استمرار القبضة الأمنية على الملفات المالية والعقارية يمثل انتهاكاً لمبدأ المساواة الدستوري وحق الملكية، ويجعل من الإجراءات الإدارية وسيلة عقاب جماعي تمنع المواطن من ممارسة أبسط حقوقه المدنية وتدبير شؤونه داخل وطنه بمجرد وجوده في الخارج أو معارضته للسلطة.",كل من يحتاج لتنظيم وكالة ,ملغى,https://drive.google.com/file/d/1MgDu2QvYf9m_adNxuGOPoEqA8fyqJsZV/view?usp=drive_link,,,,,169
24,المرسوم التشريعي رقم 17,الحكومة السورية السابقة,رئيس الجمهورية السابق,2015,قوانين خاصة أو استثنائية,حدد الرسم القنصلي عند الحصول على جواز السفر للسوريين ومن في حكمهم الموجودين خارج سوريا ب400$ أو ما يعادلها باليورو، ومبلغ 200$ لمن يريد تجديد الجواز لمدة سنتين فقط خارج سوريا,مناطق الحكومة السورية السابقة,"يعد المرسوم 17 لعام 2015 تحولاً جذرياً في تعامل النظام السوري مع ملف المغتربين، حيث ركزت سلبياته على الجانبين المالي والأمني بشكل عميق. فمن الناحية المالية، شرعن المرسوم استنزاف السوريين في الخارج عبر فرض رسوم باهظة تُسدد بالعملة الصعبة مقابل وثيقة سفر ذات صلاحية زمنية قصيرة جداً، مما حول هذا الحق الطبيعي إلى مورد مالي ضخم للخزينة.أما أمنياً، فبالرغم من ادعاء تسهيل الإجراءات، إلا أن المرسوم أبقى السوريين تحت رحمة الرقابة؛ حيث يواجه المطلوبون أمنياً مخاطر الاعتقال عند مراجعة القنصليات، أو الرفض الضمني الذي يحرمهم من تجديد إقاماتهم، مما يتركهم في حالة ضياع قانوني. بالإضافة إلى ذلك، ساهمت هذه التعقيدات في انتعاش شبكات السمسرة والفساد، ليصبح الحصول على الجواز خاضعاً لمنطق ""البازار"" والابتزاز، بدلاً من أن يكون إجراءً إدارياً متاحاً للجميع، مما عمق معاناة السوريين وجعل من وثيقة سفرهم وسيلة عقاب مادي ومعنوي.",كل من يرغب بالحصول على جواز السفر,قيد التنفيذ,https://www.damascusbar.org/arabic/index.php?node=201&nid=118228&ref=tree&,,يقول  الشاب و.أ المغترب في الإمارات العربية المتحدة: لم يكن أمامي خيار آخر على الرغم من عدم توافر عمل جيد يغطي هذه المبلغ إضافة لمصاريفي.. ولكنني أجبرت على دفع ال400$ لأن جواز سفري انتهت مدة صلاحيته وأنا بحاجة لأن يكون معي جواز سفر صالح ولمدة تتجاوز العامين فليس من المعقول أن نقوم بالتجديد كل عامين..,,,133
